EXP_no,Treatment1,Treatment2,Sample_Name,Experiment_Day,PIC,PIC_rsd,PIC_sd,POC,POC_rsd,POC_sd,DIC,ALK,DOC,DOC_sd,CHL,O2
EXP2,Light,Control,2-CON-D4-3,4,2.9,0.06619504,0.191965615,873,0.024971752,21.8003399,2018,2251.7,NA,NA,8.27,265.23
EXP2,Light,HCO3,2-HCO3-D0-1,0,4,0.008755622,0.035022489,275,0.024971752,6.867231927,2574,2743.7,NA,NA,2.64,216.717
EXP2,Light,HCO3,2-HCO3-D0-2,0,3.1,0.008755622,0.027142429,265.6,0.024971752,6.632497454,2569,2728.2,NA,NA,3,nan
EXP2,Light,HCO3,2-HCO3-D0-3,0,3.7,0.008755622,0.032395803,266.6,0.024971752,6.657469206,2566,2733.8,NA,NA,2.85,219.321
EXP2,Light,HCO3,2-HCO3-D2-1,2,4.1,0.06619504,0.271399662,888.4,0.024971752,22.18490489,2485,2713.6,NA,NA,8.27,256.852
EXP2,Light,HCO3,2-HCO3-D2-2,2,3.5,0.06619504,0.231682638,755.7,0.024971752,18.87115333,2502,2711.6,NA,NA,7.88,232.355
EXP2,Light,HCO3,2-HCO3-D2-3,2,4.8,0.06619504,0.31773619,NA,0.024971752,NA,2506,2719.3,NA,NA,8.76,234.089
EXP2,Light,HCO3,2-HCO3-D4-1,4,3,0.06619504,0.198585119,NA,0.024971752,NA,2451,2717.3,NA,NA,3.7,274.439
EXP2,Light,HCO3,2-HCO3-D4-2,4,3.3,0.06619504,0.21844363,898.2,0.024971752,22.42962806,2462,2722.7,NA,NA,4.31,261.548
EXP2,Light,HCO3,2-HCO3-D4-3,4,4.7,0.06619504,0.311116686,946.3,0.024971752,23.63076935,2449,2715.9,NA,NA,3.64,274.117
EXP4,Light,Control,4-CON-D0-1,0,2.23311396,0.030332313,0.067735513,194.5723909,0.067861632,13.20400005,2096.073136,2239.8,133.2335277,59.10821928,0.85,260.549
EXP4,Light,Control,4-CON-D0-2,0,2.477679161,0.030332313,0.075153741,204.0378196,0.067861632,13.84633949,2085.325308,2244.8,102.3876865,47.29058784,0.43,268.821
EXP4,Light,Control,4-CON-D0-3,0,2.834381554,0.030332313,0.08597335,229.360576,0.067861632,15.56478307,2081.844959,2234,116.0302548,52.36686284,0.54,257.792
EXP4,Light,Control,4-CON-D2-1,2,3.115363684,0.052299295,0.162931323,464.6526174,0.098613623,45.82107799,2066.262388,2232.4,83.89067153,37.51221318,5.76,288.121
EXP4,Light,Control,4-CON-D2-2,2,2.443866814,0.052299295,0.127812511,270.508371,0.098613623,26.67581049,2045.559183,2245.61,96.56001951,43.34960887,8.22,314.314
EXP4,Light,Control,4-CON-D2-3,2,1.343003462,0.052299295,0.070238134,227.4269113,0.098613623,22.42739167,2065.504049,2246.3,90.4934182,40.91027215,4.72,288.121
EXP4,Light,Control,4-CON-D4-1,4,6.115177463,0.052299295,0.319819468,630.0655802,0.098613623,62.13304953,2013.416634,2246.95,134.8244808,62.171915,4.37,377.728
EXP4,Light,Control,4-CON-D4-2,4,5.53138518,0.052299295,0.289287543,589.2426816,0.098613623,58.1073556,2031.570866,2232.64,89.40947215,41.55419124,4.13,370.835
EXP4,Light,Control,4-CON-D4-3,4,4.573179112,0.052299295,0.239174042,589.4740938,0.098613623,58.130176,2004.727605,2243.52,161.3228825,74.16715587,2.68,390.135
EXP4,Light,HCO3,4-HCO3-D0-1,0,2.091073308,0.030332313,0.063427091,167.0884336,0.067861632,11.33889384,2526.386323,2676.49,100.417935,46.70539355,0.54,256.414
EXP4,Light,HCO3,4-HCO3-D0-2,0,2.292437915,0.030332313,0.069534945,169.5485597,0.067861632,11.50584202,2531.266953,2678.39,64.60692155,32.55079624,0.83,267.442
EXP4,Light,HCO3,4-HCO3-D0-3,0,3.007406082,0.030332313,0.091221584,190.2260549,0.067861632,12.90905059,2526.423101,2682.95,104.6371659,46.78051328,1.12,271.578
EXP4,Light,HCO3,4-HCO3-D2-1,2,3.654035618,0.052299295,0.191103485,515.0213206,0.098613623,50.7881183,2485.5216,2668.59,118.6643603,54.12264589,4.06,301.907
EXP4,Light,HCO3,4-HCO3-D2-2,2,4.207279596,0.052299295,0.220037755,517.6495966,0.098613623,51.04730212,2477.806603,2679.45,110.4123839,49.45371573,5.03,306.042
EXP4,Light,HCO3,4-HCO3-D2-3,2,0.96577316,0.052299295,0.050509255,488.8744526,0.098613623,48.20968092,2523.921827,2675.39,99.15333131,50.54578081,7.4,nan
EXP4,Light,HCO3,4-HCO3-D4-1,4,4.885267766,0.052299295,0.255496058,544.8546194,0.098613623,53.73008797,2451.278458,2656.1,80.77869737,35.78075748,2.07,366.699
EXP4,Light,HCO3,4-HCO3-D4-2,4,5.018477313,0.052299295,0.262462824,571.8775884,0.098613623,56.39492085,2453.864493,2671.15,122.7728655,58.68728499,3.59,nan
EXP4,Light,HCO3,4-HCO3-D4-3,4,5.699222834,0.052299295,0.298065334,596.6045708,0.098613623,58.83333817,2362.420058,2596.16,150.7223563,85.54423338,3.13,347.399
EXP6,Light,Control,6-CON-D0-1,0,5.656888822,0.011783309,0.066656871,192.2726119,0.039625969,7.618988491,2089.366468,2241.06,63.47898383,27.44226706,0.82,281.673
EXP6,Light,Control,6-CON-D0-2,0,4.774600723,0.011783309,0.056260598,222.1351119,0.039625969,8.802318979,2095.567717,2237.89,66.64186644,29.2055816,0.79,234.728
EXP6,Light,Control,6-CON-D0-3,0,4.083226597,0.026694169,0.108998342,241.3776391,0.039625969,9.564822759,2096.355199,2240.88,65.41850947,34.81731814,0.67,269.937
EXP6,Light,Control,6-CON-D2-1,2,5.100341016,0.011783309,0.060098896,NA,0.039625969,36.53390715,2060.647774,2243.28,63.76075511,33.83295616,2.85,nan
EXP6,Light,Control,6-CON-D2-2,2,3.826515492,0.011783309,0.045089016,362.0684007,0.039625969,14.34731109,2066.583448,2236.44,65.07099156,34.54722694,2.66,286.074
EXP6,Light,Control,6-CON-D2-3,2,3.380902615,0.026694169,0.090250387,322.1922305,0.039625969,12.76717922,2068.997703,2244.38,63.83824221,27.70153456,NA,267.003
EXP6,Light,Control,6-CON-D4-1,4,4.158945401,0.011783309,0.04900614,413.6524783,0.039625969,16.39138014,2032.553719,2232.94,64.79626456,28.02563972,1.53,333.02
EXP6,Light,Control,6-CON-D4-2,4,3.333620247,0.011783309,0.039281079,373.3764417,0.039625969,14.79540317,2050.61991,2238.24,NA,9.935171086,1.37,334.487
